,Country,Commodity,ImportsFrom,World,ReImportsFrom,ExportsTo,ImpFromExpToRatio,emissionsCommodity,tCO2_USA,tCH4_USA,tN2O_USA,ghgCategory,tCO2,tCH4,tN2O,tCO2_expto,tCH4_expto,tN2O_expto
1,Egypt,"Peat; (including peat litter), whether or not agglomerated",10199940.926716689,6642218.0511366455,0.0,13213154.0,0.7719535340855551,Peat,10062.994256279278,2.878353664365917,0.38228134604859837,Peat,10552.450885144019,0.9955142344475488,0.1393719928226568,13669.80060224,1.2896038304000002,0.180544536256
1,South Africa,"Coke and semi-coke; of coal, lignite or peat, whether or not agglomerated; retort carbon",801602482.0,801602483.0,68000.0,749081956.0,1.0701131906586734,Coal Coke,2490925.0609118366,241.22828720430348,35.34480398597853,Coking coal,2138450.97328104,226.05189992399997,33.9077849886,1998340.9156603198,211.24111159199998,31.686166738799997
1,Nigeria,"Coke and semi-coke; of coal, lignite or peat, whether or not agglomerated; retort carbon",483393.0,483393.0,0.0,826281.0,0.5850225286555059,Coal Coke,1502.110790581803,0.14546869309288124,0.021314094226063184,Coking coal,1289.5571739599998,0.136316826,0.0204475239,2204.2863493199998,0.23301124199999998,0.0349516863
1,Egypt,"Coke and semi-coke; of coal, lignite or peat, whether or not agglomerated; retort carbon",805270270.0060798,630019591.396016,0.0,62743347.0,12.83435309892027,Coal Coke,2502322.4620771394,242.33204403939658,35.50652659917898,Coking coal,2148235.6047006194,227.0862161417145,34.06293242125717,167381.68165884,17.693623854,2.6540435781
1,South Africa,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons",1533.0,1533.0,0.0,1.1569596033256366,1325.0246556521502,nan,,,,Gas coke,4.625674200000001,0.000216153,4.32306e-06,0.003491009907074776,1.6313130406891473e-07,3.2626260813782953e-09
1,Nigeria,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons",4500.0,4500.0,0.0,5163.0,0.8715862870424173,nan,,,,Gas coke,13.5783,0.0006344999999999999,1.2689999999999999e-05,15.578836200000001,0.000727983,1.4559660000000001e-05
1,Egypt,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons",60.0,60.0,0.0,0.0,6e+21,nan,,,,Gas coke,0.181044,8.459999999999999e-06,1.6919999999999998e-07,0.0,0.0,0.0
1,South Africa,"Tar distilled from coal, from lignite, peat and other mineral tars, whether or not dehydrated or partially distilled; including reconstituted tars",1217796.0,1217796.0,0.0,1324525.0,0.9194209244823616,nan,,,,Coal tar,2751.7318416,0.34098288,0.051147432,2992.89669,0.37086700000000006,0.05563005
1,Nigeria,"Tar distilled from coal, from lignite, peat and other mineral tars, whether or not dehydrated or partially distilled; including reconstituted tars",0.0,0.0,0.0,0.0,0.0,nan,,,,Coal tar,0.0,0.0,0.0,0.0,0.0,0.0
1,Egypt,"Tar distilled from coal, from lignite, peat and other mineral tars, whether or not dehydrated or partially distilled; including reconstituted tars",4500.0,4500.0,0.0,9900.0,0.45454545454545453,nan,,,,Coal tar,10.1682,0.0012600000000000003,0.000189,22.37004,0.0027720000000000006,0.0004158
1,South Africa,Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents,3704628.0,3704632.0,0.0,280172142.0,0.013222685073378922,nan,,,,Other petroleum products,10916.27914248,1.489260456,0.08935562736,825572.04394572,112.629201084,6.75775206504
1,Nigeria,Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents,3818150.0,3818151.0,0.0,2812205.0,1.3577068528076723,nan,,,,Other petroleum products,11250.789879,1.5348963,0.09209377799999999,8286.6119853,1.1305064100000002,0.06783038459999999
1,Egypt,Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents,12506685.0,12506686.0,0.0,261156878.0,0.04788954859538488,nan,,,,Other petroleum products,36852.9484221,5.02768737,0.30166124219999996,769540.52612748,104.985064956,6.29910389736
1,South Africa,Pitch and pitch coke; obtained from coal tar or from other mineral tars,36192460.0,36192460.0,0.0,18823417.0,1.9227359198385714,nan,,,,Coke oven coke,109207.128804,10.206273719999999,1.530941058,56797.778455800006,5.308203593999999,0.7962305391
1,Nigeria,Pitch and pitch coke; obtained from coal tar or from other mineral tars,0.0,0.0,0.0,21000.0,0.0,nan,,,,Coke oven coke,0.0,0.0,0.0,63.3654,0.005921999999999999,0.0008883
1,Egypt,Pitch and pitch coke; obtained from coal tar or from other mineral tars,31993191.0,31993191.0,0.0,29065650.0,1.1007216766182761,nan,,,,Coke oven coke,96536.25452340001,9.022079862,1.3533119793,87702.69231,8.1965133,1.229476995
1,South Africa,Petroleum oils and oils obtained from bituminous minerals; crude,20275869677.0,20275869678.0,0.0,7015992925.47098,2.8899501314190523,nan,,,,Crude oil,62867158.76180943,8576.692873371,514.60157240226,21753717.504786067,2967.765007474224,178.06590044845345
1,Nigeria,Petroleum oils and oils obtained from bituminous minerals; crude,0.0,0.0,0.0,401251.0,0.0,nan,,,,Crude oil,0.0,0.0,0.0,1244.1148380900001,0.16972917299999998,0.01018375038
1,Egypt,Petroleum oils and oils obtained from bituminous minerals; crude,7090300000.0,7090300000.0,0.0,0.0,7.090300000000001e+29,nan,,,,Crude oil,21984113.277,2999.1969,179.951814,0.0,0.0,0.0
1,South Africa,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",8094436062.0,8094436089.0,434898.0,3694571757.3984313,2.1908996748515657,nan,,,,Motor gasoline,24849837.76597938,3585.835175466,215.15011052796,11342298.34949561,1636.695288527505,98.20171731165031
1,Nigeria,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",11530753355.578001,8867722047.273254,0.0,12079981099.975239,0.9545340559847099,nan,,,,Motor gasoline,35399297.49409091,5108.1237365210545,306.48742419126324,37085421.17711298,5351.43162728903,321.0858976373419
1,Egypt,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",9247010758.54038,5038938754.927249,0.0,6789649726.322242,1.3619275119144063,nan,,,,Motor gasoline,28388230.558611378,4096.425766033388,245.7855459620033,20844156.763312016,3007.814828760753,180.4688897256452
1,South Africa,Petroleum gases and other gaseous hydrocarbons,3232090538.0,3232090543.0,0.0,845750906.5014745,3.821563196863526,nan,,,,Natural gas,8703373.4007264,775.70172912,15.514034582399997,2277438.041027171,202.98021756035388,4.059604351207077
1,Nigeria,Petroleum gases and other gaseous hydrocarbons,23068212.878045145,19685316.271178193,0.0,130949357.95746289,0.1761613286071898,nan,,,,Natural gas,62118.08363799997,5.536371090730834,0.11072742181461669,352620.4311078561,31.427845909791092,0.6285569181958218
1,Egypt,Petroleum gases and other gaseous hydrocarbons,4519575000.0,4519575000.0,0.0,1748589705.2530565,2.584697248544035,nan,,,,Natural gas,12170311.56,1084.698,21.693959999999997,4708602.358305431,419.6615292607336,8.39323058521467
