Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,842,USA,USA,170,Colombia,COL,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,2289675000,,,,2289675000,,153501345,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,170,Colombia,COL,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,112000,,,,112000,,8239,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,178,Congo,COG,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,15720000,,,,15720000,,2043600,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,191,Croatia,HRV,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,4145684184,,,,4145684184,,358849635,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,208,Denmark,DNK,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,58132000,,,,58132000,,5871340,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,212,Dominica,DMA,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,45800000,,,,45800000,,2288144,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,214,Dominican Rep.,DOM,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,226515000,,,,226515000,,14921385,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,218,Ecuador,ECU,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,34007000,,,,34007000,,2210455,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,222,El Salvador,SLV,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,32000,,,,32000,,2640,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,246,Finland,FIN,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,1018015485,,,,1018015485,,89354684,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,251,France,FRA,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,2674231763,,,,2674231763,,246104285,,,6
H5,2018,2018,2018,6,1,1,Import,842,USA,USA,276,Germany,DEU,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,1057000,,,,1057000,,100334,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,276,Germany,DEU,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,4469725038,,,,4469725038,,350744134,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,288,Ghana,GHA,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,50681000,,,,50681000,,3094265,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,300,Greece,GRC,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,77749000,,,,77749000,,6451009,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,320,Guatemala,GTM,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,231728645,,,,231728645,,18115039,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,340,Honduras,HND,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,196236000,,,,196236000,,13922113,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,348,Hungary,HUN,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,21025044,,,,21025044,,1815000,,,6
H5,2018,2018,2018,6,1,1,Import,842,USA,USA,360,Indonesia,IDN,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,721235000,,,,721235000,,64931904,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,360,Indonesia,IDN,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,1587406,,,,1587406,,143608,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,381,Italy,ITA,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,4495350129,,,,4495350129,,392174158,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,388,Jamaica,JAM,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,33000000,,,,33000000,,1980000,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,392,Japan,JPN,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,12676037478,,,,12676037478,,1267436598,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,400,Jordan,JOR,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,47308088,,,,47308088,,4083900,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,5207443007,,,,5207443007,,511277472,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,442,Luxembourg,LUX,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,115961589,,,,115961589,,10010456,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,458,Malaysia,MYS,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,3046581,,,,3046581,,262998,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,484,Mexico,MEX,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,3356525177,,,,3356525177,,200154622,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,490,"Other Asia, nes",,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,2037703,,,,2037703,,175906,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,504,Morocco,MAR,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,3397172971,,,,3397172971,,272063705,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,528,Netherlands,NLD,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,13222273566,,,,13222273566,,1145470977,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,533,Aruba,ABW,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,60000,,,,60000,,10946,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,579,Norway,NOR,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,58687000,,,,58687000,,9325063,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,586,Pakistan,PAK,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,173657000,,,,173657000,,10850862,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,591,Panama,PAN,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,138382000,,,,138382000,,8560769,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,616,Poland,POL,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,2840054627,,,,2840054627,,248577142,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,620,Portugal,PRT,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,433185557,,,,433185557,,39920590,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,642,Romania,ROU,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,351130671,,,,351130671,,33988369,,,6
H5,2018,2018,2018,6,1,1,Import,842,USA,USA,643,Russian Federation,RUS,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,44000000,,,,44000000,,5896000,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,686,Senegal,SEN,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,64819000,,,,64819000,,3973235,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,688,Serbia,SRB,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,1460979,,,,1460979,,126120,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,699,India,IND,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,20088775074,,,,20088775074,,1644016354,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,702,Singapore,SGP,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,33000,,,,33000,,11327,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,703,Slovakia,SVK,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,91854539,,,,91854539,,7929400,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,704,Viet Nam,VNM,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,466825,,,,466825,,40299,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,705,Slovenia,SVN,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,93601877,,,,93601877,,8080240,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,710,South Africa,ZAF,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,409155756,,,,409155756,,35320624,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,724,Spain,ESP,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,2346275631,,,,2346275631,,200144431,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,752,Sweden,SWE,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,912100220,,,,912100220,,82242131,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,764,Thailand,THA,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,456302598,,,,456302598,,34640137,,,6
