Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,710,South Africa,ZAF,748,Eswatini,SWZ,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,19694580,,,,19694580,,2631045,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,748,Eswatini,SWZ,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,6173,,,,6173,,4412,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,757,Switzerland,CHE,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,58222000,,,,58222000,,7218478,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,784,United Arab Emirates,ARE,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,5,,,,5,,7,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,792,Turkey,TUR,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,83851000,,,,83851000,,8022009,,,0
H5,2018,2018,2018,6,1,1,Import,710,South Africa,ZAF,804,Ukraine,UKR,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,19507100,,,,19507100,,3182918,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,804,Ukraine,UKR,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,50523000,,,,50523000,,3251553,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,818,Egypt,EGY,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,36000,,,,36000,,14381,,,0
H5,2018,2018,2018,6,1,1,Import,710,South Africa,ZAF,826,United Kingdom,GBR,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,17500,,,,17500,,8858,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,834,United Rep. of Tanzania,TZA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,11696,,,,11696,,8994,,,0
