Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,344,"China, Hong Kong SAR",HKG,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,971089,,,,971089,,432375,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,360,Indonesia,IDN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,114860,,,,114860,,38860,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,364,Iran,IRN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,304,,,,304,,7927,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,376,Israel,ISR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1,,,,1,,180,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,376,Israel,ISR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,25417,,,,25417,,15219,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,381,Italy,ITA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,5,,,,5,,807,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,384,Côte d'Ivoire,CIV,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,19,,,,19,,66,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,404,Kenya,KEN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,115,,,,115,,979,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,410,Rep. of Korea,KOR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,17270,,,,17270,,21826,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,410,Rep. of Korea,KOR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,88291,,,,88291,,52705,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,426,Lesotho,LSO,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,315105,,,,315105,,65606,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,426,Lesotho,LSO,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,7813,,,,7813,,3197,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,430,Liberia,LBR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3522,,,,3522,,3758,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,450,Madagascar,MDG,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1881,,,,1881,,12004,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,454,Malawi,MWI,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,15000,,,,15000,,301,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,454,Malawi,MWI,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,45643,,,,45643,,40957,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,458,Malaysia,MYS,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,855367,,,,855367,,206218,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,480,Mauritius,MUS,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,884580,,,,884580,,464850,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,480,Mauritius,MUS,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,42,,,,42,,313,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,490,"Other Asia, nes",,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,39600,,,,39600,,14680,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,490,"Other Asia, nes",,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,136368,,,,136368,,17079,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,508,Mozambique,MOZ,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1283243,,,,1283243,,259466,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,508,Mozambique,MOZ,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,814744,,,,814744,,372679,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,516,Namibia,NAM,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2449652,,,,2449652,,629026,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,516,Namibia,NAM,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,214522,,,,214522,,207830,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,528,Netherlands,NLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,363831,,,,363831,,130447,,,0
H5,2018,2018,2018,4,0,2,Export,710,South Africa,ZAF,586,Pakistan,PAK,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,77481,,,,77481,,28278,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,608,Philippines,PHL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,404060,,,,404060,,20898,,,0
H5,2018,2018,2018,4,0,1,Import,710,South Africa,ZAF,616,Poland,POL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,19460,,,,19460,,5315,,,0
